Date,actual_temp,wind_spd_tia_1,dew_point_tia_1,temp_tia_1,wind_spd_tcc_1,dew_point_tcc_1,temp_tcc_1,wind_spd_b_1,dew_point_b_1,temp_b_1,dew_point_tc_1,actual_temp_1,wind_chill_tia_1,solar_rad_1,hmdx_tia_1,weather_label_tia_1_Clear,weather_label_tia_1_Cloudy,weather_label_tia_1_Fog,weather_label_tia_1_Rain,weather_label_tia_1_Snow,wind_dir_tia_1_N,wind_dir_tia_1_NE,wind_dir_tia_1_NNE,wind_dir_tcc_1_N,wind_dir_tcc_1_NE,wind_dir_tcc_1_NNE,wind_dir_b_1_N,wind_dir_b_1_NE,wind_dir_b_1_NNE,month,week,day,day_of_week
2016-03-01 06:00:00,-8.0,7.0,-15.1,-8.2,17.0,-13.2,-7.4,9.0,-16.2,-10.2,-14.3,-7.8,-11.93819075309672,0.0,-12.691657392212733,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3,9,1,1
2016-03-01 07:00:00,-8.6,16.0,-15.5,-8.4,21.0,-13.6,-7.8,16.0,-15.9,-10.5,-14.8,-8.0,-15.008973639514291,0.0,-12.925757818148156,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3,9,1,1
2016-03-01 08:00:00,-8.3,17.0,-15.7,-8.8,24.0,-13.9,-8.2,14.0,-16.8,-10.7,-15.3,-8.6,-15.730424700899874,17.17,-13.34243418352628,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,9,1,1
2016-03-01 09:00:00,-7.6,16.0,-16.2,-8.7,24.0,-13.5,-7.9,13.0,-16.9,-10.3,-15.1,-8.3,-15.380786893015522,59.89,-13.283060667731661,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,9,1,1
2016-03-01 10:00:00,-8.2,15.0,-14.8,-8.5,32.0,-11.1,-7.0,13.0,-15.5,-9.9,-12.6,-7.6,-14.896938196934093,102.29,-12.96541483938222,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,9,1,1
2016-03-01 11:00:00,-8.0,16.0,-12.3,-8.8,28.0,-9.3,-7.2,11.0,-13.1,-10.1,-11.0,-8.2,-15.5047246441826,169.17,-13.022868481384933,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,9,1,1
2016-03-01 12:00:00,-7.2,18.0,-11.9,-8.9,39.0,-8.6,-6.8,15.0,-12.4,-9.7,-9.8,-8.0,-16.070348055182297,186.05,-13.079825453308331,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,9,1,1
2016-03-01 20:00:00,-8.0,22.0,-11.5,-9.1,30.0,-8.5,-7.1,16.0,-11.4,-9.3,-9.6,-8.0,-17.096636391739743,0.0,-13.235529667069898,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,9,1,1
2016-03-01 21:00:00,-8.1,22.0,-11.1,-8.9,22.0,-8.7,-7.4,17.0,-11.5,-9.6,-9.3,-8.0,-16.842301225790347,0.0,-12.989948869817908,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,9,1,1
2016-03-02 07:00:00,-8.2,33.0,-13.3,-8.9,21.0,-10.6,-8.4,20.0,-13.7,-10.6,-11.1,-8.7,-18.47978612465723,0.0,-13.225200592038618,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,9,2,2
2016-03-02 08:00:00,-8.1,34.0,-14.2,-8.7,32.0,-11.9,-7.7,23.0,-13.6,-10.5,-11.2,-8.2,-18.34088408077961,43.86,-13.111164665181377,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,9,2,2
2016-03-02 09:00:00,-7.7,26.0,-14.2,-8.9,24.0,-13.0,-7.7,26.0,-14.4,-10.6,-11.8,-8.1,-17.504112924164545,194.98,-13.311164665181366,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,9,2,2
2016-03-02 10:00:00,-7.1,28.0,-14.8,-8.5,24.0,-12.8,-7.6,22.0,-14.9,-10.4,-12.0,-7.7,-17.28451417163848,394.09,-12.96541483938222,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,9,2,2
2016-03-02 11:00:00,-6.9,33.0,-14.6,-7.7,32.0,-12.7,-7.3,22.0,-14.6,-9.5,-11.5,-7.1,-16.901481474425037,500.45,-12.147595786098805,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,9,2,2
2016-03-02 12:00:00,-6.3,27.0,-15.0,-7.2,18.0,-13.2,-6.7,21.0,-14.7,-8.9,-13.2,-6.9,-15.457426518304842,528.98,-11.682974115332513,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,9,2,2
2016-03-02 13:00:00,-4.8,32.0,-15.1,-6.3,17.0,-12.1,-5.9,34.0,-15.0,-8.1,-12.6,-6.3,-14.940953368524967,573.23,-10.791657392212755,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,9,2,2
2016-03-02 14:00:00,-4.0,31.0,-14.2,-5.6,26.0,-13.2,-5.0,30.0,-14.6,-7.2,-12.4,-4.8,-13.902766171917495,555.57,-10.011164665181411,1,0,0,0,0,0,0,1,0,0,1,0,0,1,3,9,2,2
2016-03-02 15:00:00,-4.1,33.0,-13.5,-4.8,34.0,-12.7,-4.3,17.0,-13.5,-6.3,-12.8,-4.0,-13.087245236363902,422.36,-9.144793088196877,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,9,2,2
2016-03-02 16:00:00,-3.8,31.0,-13.9,-5.0,28.0,-12.8,-4.0,28.0,-14.1,-6.7,-12.8,-4.1,-13.117756968928681,266.85,-9.383133757667338,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3,9,2,2
2016-03-02 17:00:00,-4.8,31.0,-14.3,-5.2,32.0,-12.6,-3.9,23.0,-13.9,-7.0,-12.6,-3.8,-13.379426703258286,132.62,-9.620372651739956,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3,9,2,2
2016-03-02 18:00:00,-5.8,33.0,-15.2,-6.1,32.0,-13.3,-5.2,22.0,-12.4,-7.6,-13.0,-4.8,-14.797075274115443,43.77,-10.600276986480594,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,9,2,2
2016-03-02 19:00:00,-7.0,38.0,-14.4,-7.0,22.0,-13.0,-5.5,20.0,-15.5,-7.9,-13.1,-5.8,-16.545834981503667,0.0,-11.429513544578356,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,9,2,2
2016-03-02 20:00:00,-7.9,30.0,-16.3,-8.3,34.0,-14.6,-6.8,18.0,-16.0,-8.7,-14.8,-7.0,-17.302415138089067,0.0,-12.891006672498861,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,9,2,2
2016-03-02 21:00:00,-7.9,18.0,-16.6,-9.1,21.0,-14.9,-7.5,16.0,-16.6,-9.3,-14.9,-7.9,-16.32057445525854,0.0,-13.714493149207783,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,9,2,2
2016-03-03 06:00:00,-8.9,6.0,-14.5,-9.3,15.0,-14.2,-8.6,9.0,-19.0,-11.4,-15.6,-8.8,-12.716472255941671,0.0,-13.73858777855861,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,9,3,3
2016-03-03 07:00:00,-8.7,5.0,-15.0,-9.4,18.0,-14.3,-8.6,4.0,-17.8,-11.3,-16.2,-8.9,-12.253291239326522,0.0,-13.882974115332502,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,9,3,3
2016-03-03 08:00:00,-8.8,9.0,-14.5,-9.6,17.0,-12.7,-8.2,8.0,-18.5,-11.3,-15.0,-8.7,-14.416271910484102,32.77,-14.038587778558622,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,9,3,3
2016-03-03 09:00:00,-7.6,9.0,-15.3,-9.3,21.0,-12.5,-8.1,12.0,-19.6,-11.3,-14.8,-8.8,-14.060760982744188,122.84,-13.80883331376549,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,9,3,3
2016-03-03 10:00:00,-5.9,9.0,-14.5,-8.4,21.0,-11.1,-7.3,13.0,-19.0,-10.4,-12.8,-7.6,-12.994228199524436,245.0,-12.838587778558576,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,9,3,3
2016-03-03 11:00:00,-5.9,17.0,-11.8,-6.4,18.0,-9.4,-5.6,11.0,-16.6,-9.3,-10.2,-5.9,-12.741464585592436,287.62,-10.568870200604408,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,9,3,3
2016-03-03 12:00:00,-5.3,18.0,-10.1,-5.6,28.0,-7.8,-5.5,16.0,-13.2,-7.9,-9.2,-5.9,-11.941612453924261,378.89,-9.570156806197303,0,0,0,0,1,1,0,0,1,0,0,0,0,1,3,9,3,3
2016-03-03 13:00:00,-4.9,18.0,-8.8,-5.2,22.0,-6.9,-5.3,15.0,-12.3,-7.7,-8.0,-5.3,-11.441159653771772,323.35,-9.001225320932974,0,0,0,0,1,1,0,0,1,0,0,0,0,1,3,9,3,3
2016-03-03 14:00:00,-4.5,18.0,-9.2,-5.1,9.0,-9.3,-4.3,17.0,-10.9,-7.0,-7.4,-4.9,-11.316046453733648,301.35,-8.95485747372203,0,0,0,0,1,0,0,1,0,0,1,1,0,0,3,9,3,3
2016-03-03 15:00:00,-3.8,14.0,-10.3,-4.3,9.0,-9.1,-3.9,13.0,-10.3,-6.6,-8.8,-4.5,-9.49682918629356,320.16,-8.29479964235776,0,0,0,0,1,0,0,1,1,0,0,0,0,1,3,9,3,3
2016-03-03 16:00:00,-4.2,15.0,-10.6,-4.4,17.0,-8.9,-3.7,17.0,-9.6,-6.4,-9.1,-3.8,-9.841515047405021,197.12,-8.431115532775834,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,9,3,3
