Date,actual_temp,wind_spd_via_1,dew_point_via_1,temp_via_1,wind_spd_wva_1,dew_point_wva_1,temp_wva_1,wind_spd_pa_1,dew_point_pa_1,temp_pa_1,dew_point_vh_1,actual_temp_1,wind_chill_via_1,solar_rad_1,hmdx_via_1,weather_label_via_1_Clear,weather_label_via_1_Cloudy,weather_label_via_1_Fog,weather_label_via_1_Rain,weather_label_via_1_Snow,wind_dir_via_1_N,wind_dir_via_1_NE,wind_dir_via_1_NNE,wind_dir_wva_1_N,wind_dir_wva_1_NE,wind_dir_wva_1_NNE,wind_dir_pa_1_N,wind_dir_pa_1_NE,wind_dir_pa_1_NNE,month,week,day,day_of_week
2016-03-01 06:00:00,6.7,19.0,3.7,6.4,7.0,2.1,5.9,13.0,3.1,7.5,5.3,7.3,6.4,0.0,5.269330746893786,0,0,0,1,0,1,0,0,1,0,0,1,0,0,3,9,1,1
2016-03-01 07:00:00,6.7,26.0,3.8,6.3,6.0,3.0,5.5,22.0,3.7,7.3,5.4,6.7,6.3,0.0,5.200703754477161,0,0,0,1,0,1,0,0,1,0,0,1,0,0,3,9,1,1
2016-03-01 10:00:00,7.5,19.0,5.0,6.8,2.0,5.5,7.5,10.0,5.1,6.3,5.9,7.2,6.8,47.03,6.093069859090576,0,0,0,1,0,1,0,0,0,0,1,0,0,1,3,9,1,1
2016-03-01 19:00:00,9.6,21.0,5.4,9.4,2.0,5.7,7.4,30.0,5.7,9.6,6.1,10.0,9.4,0.0,8.830585995721663,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,9,1,1
2016-03-01 20:00:00,9.3,23.0,4.5,9.1,5.0,5.0,7.1,36.0,5.5,9.2,5.5,9.6,9.1,0.0,8.22596583918579,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,9,1,1
2016-03-01 21:00:00,8.7,21.0,4.8,8.2,6.0,4.1,6.9,31.0,4.9,9.4,5.6,9.3,8.2,0.0,7.425596475866257,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,9,1,1
2016-03-02 06:00:00,6.5,12.0,6.7,7.7,4.0,4.8,6.3,26.0,5.9,7.5,6.1,6.7,7.7,0.0,7.602016328740376,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,9,2,2
2016-03-02 07:00:00,6.9,22.0,6.7,8.1,4.0,5.2,6.6,27.0,6.1,7.8,5.9,6.5,8.1,0.0,8.00201632874041,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,9,2,2
2016-03-02 08:00:00,7.0,22.0,6.9,8.4,4.0,5.4,6.9,24.0,6.3,8.1,6.4,6.9,8.4,28.73,8.377987573421308,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,9,2,2
2016-03-02 09:00:00,7.2,14.0,6.9,8.8,8.0,5.8,7.5,26.0,6.5,8.2,6.4,7.0,8.8,124.15,8.777987573421342,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,9,2,2
2016-03-02 10:00:00,8.1,16.0,7.4,9.4,6.0,5.7,7.3,28.0,6.7,8.4,6.5,7.2,9.4,171.99,9.572081249702194,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,9,2,2
2016-03-02 13:00:00,9.5,24.0,6.8,10.2,5.0,6.1,7.9,25.0,6.6,9.0,6.4,9.9,10.2,290.27,10.139884225417745,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,9,2,2
2016-03-02 14:00:00,9.6,31.0,5.7,11.1,4.0,5.7,7.9,27.0,6.0,9.5,7.2,9.5,11.1,251.21,10.636008808095823,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,9,2,2
2016-03-02 15:00:00,10.3,29.0,5.4,11.0,8.0,4.9,8.4,27.0,6.0,9.6,7.4,9.6,11.0,208.34,10.430585995721685,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,9,2,2
2016-03-02 17:00:00,9.0,15.0,6.0,10.6,3.0,4.8,8.3,10.0,4.8,10.2,7.3,9.2,10.6,65.51,10.243427031334363,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,9,2,2
2016-03-03 06:00:00,8.3,12.0,6.7,7.6,4.0,6.1,7.6,13.0,6.9,8.2,7.8,8.5,7.6,0.0,7.50201632874041,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,9,3,3
2016-03-03 07:00:00,8.5,14.0,6.9,7.8,5.0,6.2,8.0,28.0,6.9,8.5,7.6,8.3,7.8,0.0,7.777987573421342,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,9,3,3
2016-03-03 08:00:00,8.6,14.0,7.2,8.4,6.0,5.7,8.3,31.0,6.9,9.3,7.8,8.5,8.4,23.47,8.493723200183979,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,9,3,3
2016-03-03 09:00:00,8.9,17.0,7.5,8.7,8.0,5.5,8.6,30.0,6.9,9.3,7.8,8.6,8.7,46.63,8.911624489342785,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,9,3,3
2016-03-03 10:00:00,9.1,17.0,8.0,9.5,5.0,5.9,8.5,22.0,7.0,9.4,7.9,8.9,9.5,96.69,9.913035841983628,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,9,3,3
2016-03-03 11:00:00,9.9,16.0,8.6,9.8,6.0,6.6,8.3,27.0,7.5,8.8,8.1,9.1,9.8,75.76,10.463036561340232,0,0,0,1,0,1,0,0,1,0,0,1,0,0,3,9,3,3
2016-03-03 12:00:00,10.1,16.0,7.6,9.5,5.0,6.8,8.3,27.0,7.8,9.1,8.0,9.9,9.5,142.3,9.75141229762869,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,9,3,3
2016-03-03 13:00:00,10.3,19.0,8.9,10.8,2.0,6.6,7.9,11.0,7.6,8.9,8.7,10.1,10.8,314.39,11.591521586309682,0,0,0,1,0,0,0,1,0,0,1,0,0,1,3,9,3,3
2016-03-03 14:00:00,10.6,12.0,7.5,11.7,3.0,6.5,10.0,21.0,7.0,10.0,8.5,10.3,11.7,316.33,11.911624489342785,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,9,3,3
2016-03-03 15:00:00,11.4,13.0,6.4,11.9,3.0,5.4,11.3,20.0,6.7,11.8,8.3,10.6,11.9,250.59,11.689812590515203,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,9,3,3
2016-03-03 16:00:00,12.7,18.0,7.4,13.1,4.0,5.6,11.7,22.0,7.4,10.9,8.1,11.4,13.1,172.08,13.27208124970224,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,9,3,3
2016-03-03 17:00:00,11.8,17.0,6.2,12.3,4.0,5.9,11.5,24.0,7.4,11.6,6.7,12.7,12.3,84.57,12.016164071762319,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,9,3,3
2016-03-03 18:00:00,10.2,18.0,5.6,12.4,6.0,4.8,11.2,20.0,7.0,10.4,6.8,11.8,12.4,23.27,11.90064777990085,0,1,0,0,0,0,0,1,1,0,0,1,0,0,3,9,3,3
2016-03-03 19:00:00,9.3,23.0,7.3,11.1,6.0,4.9,10.0,23.0,6.7,10.7,7.5,10.2,11.1,0.0,11.232781258147327,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,9,3,3
2016-03-04 11:00:00,9.7,18.0,4.1,10.4,7.0,-0.5,12.4,31.0,4.0,11.2,3.2,12.8,10.4,73.53,9.396024710730671,0,0,0,1,0,1,0,0,1,0,0,0,0,1,3,9,4,4
2016-03-05 06:00:00,9.2,16.0,7.0,8.4,7.0,6.3,9.0,37.0,7.0,10.2,7.7,8.4,8.4,0.0,8.416327657251202,0,0,0,1,0,1,0,0,1,0,0,1,0,0,3,9,5,5
2016-03-05 07:00:00,9.1,14.0,7.6,8.8,6.0,6.4,8.9,32.0,7.3,9.9,8.1,9.2,8.8,0.0,9.051412297628701,0,0,0,1,0,1,0,0,1,0,0,1,0,0,3,9,5,5
2016-03-05 08:00:00,10.7,18.0,7.7,8.9,6.0,6.6,9.1,30.0,7.6,10.2,8.2,9.1,8.9,66.47,9.191446001207964,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3,9,5,5
2016-03-05 09:00:00,11.1,18.0,8.2,9.6,5.0,7.1,9.7,29.0,8.0,10.5,8.9,10.7,9.6,153.8,10.09534981020795,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3,9,5,5
2016-03-05 10:00:00,13.1,13.0,8.9,11.8,7.0,7.0,10.2,27.0,7.9,10.6,8.4,11.1,11.8,235.11,12.591521586309682,1,0,0,0,0,0,0,1,1,0,0,1,0,0,3,9,5,5
2016-03-05 11:00:00,11.5,18.0,8.7,12.8,4.0,6.8,12.8,23.0,7.8,10.8,8.4,13.1,12.8,329.58,13.505603539101344,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3,9,5,5
2016-03-05 12:00:00,11.2,25.0,9.2,13.1,3.0,4.8,13.3,26.0,7.8,11.5,8.5,11.5,13.1,434.0,14.02238000449529,1,0,0,0,0,0,0,1,0,0,1,1,0,0,3,9,5,5
