Date,actual_temp,wind_spd_tia_1,dew_point_tia_1,temp_tia_1,wind_spd_tcc_1,dew_point_tcc_1,temp_tcc_1,wind_spd_b_1,dew_point_b_1,temp_b_1,dew_point_tc_1,actual_temp_1,wind_chill_tia_1,solar_rad_1,hmdx_tia_1,weather_label_tia_1_Clear,weather_label_tia_1_Cloudy,weather_label_tia_1_Fog,weather_label_tia_1_Rain,weather_label_tia_1_Snow,wind_dir_tia_1_N,wind_dir_tia_1_NE,wind_dir_tia_1_NNE,wind_dir_tcc_1_N,wind_dir_tcc_1_NE,wind_dir_tcc_1_NNE,wind_dir_b_1_N,wind_dir_b_1_NE,wind_dir_b_1_NNE,month,week,day,day_of_week
2016-03-01 00:00:00,-6.0,22.0,-9.9,-4.3,26.0,-8.9,-3.2,5.0,-8.8,-5.9,-10.2,-3.5,-10.992592408954211,0.0,-8.245163078560779,0,1,0,0,0,1,0,0,1,0,0,0,1,0,3,9,1,1
2016-03-01 01:00:00,-6.3,20.0,-15.2,-7.1,18.0,-14.2,-5.9,16.0,-16.4,-7.4,-14.5,-6.0,-14.20125963563628,0.0,-11.600276986480594,0,1,0,0,0,0,0,1,0,0,1,0,0,1,3,9,1,1
2016-03-01 02:00:00,-6.4,17.0,-15.8,-7.5,22.0,-14.5,-6.2,22.0,-15.9,-7.6,-14.6,-6.3,-14.111404638441678,0.0,-12.050680328354076,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,9,1,1
2016-03-01 03:00:00,-6.8,21.0,-15.6,-7.8,17.0,-14.6,-6.4,19.0,-15.1,-7.8,-14.4,-6.4,-15.267591939773403,0.0,-12.334126814781825,1,0,0,0,0,0,0,1,0,0,1,0,0,1,3,9,1,1
2016-03-01 04:00:00,-6.8,9.0,-15.3,-8.4,9.0,-13.9,-6.7,18.0,-15.2,-9.4,-14.6,-6.8,-12.994228199524436,0.0,-12.908833313765399,1,0,0,0,0,0,0,1,0,0,1,1,0,0,3,9,1,1
2016-03-01 05:00:00,-7.8,12.0,-15.5,-8.2,9.0,-14.2,-6.8,11.0,-16.3,-10.1,-14.3,-6.8,-13.736104414068151,0.0,-12.725757818148168,1,0,0,0,0,0,1,0,1,0,0,1,0,0,3,9,1,1
2016-03-01 22:00:00,-8.3,22.0,-11.7,-9.2,30.0,-9.1,-7.6,18.0,-11.7,-9.8,-9.4,-8.1,-17.22380397471444,0.0,-13.35783615415454,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,9,1,1
2016-03-01 23:00:00,-8.4,25.0,-11.6,-9.4,21.0,-9.0,-7.6,18.0,-12.0,-9.9,-9.7,-8.3,-17.98969650708712,0.0,-13.546722811413986,0,0,0,0,1,1,0,0,1,0,0,1,0,0,3,9,1,1
2016-03-02 00:00:00,-9.2,25.0,-12.1,-9.6,18.0,-9.8,-8.0,21.0,-13.0,-10.6,-9.7,-8.4,-18.246718712213404,0.0,-13.801501573893233,0,0,0,0,1,0,1,0,0,1,0,1,0,0,3,9,2,2
2016-03-02 01:00:00,-10.3,28.0,-13.0,-10.3,26.0,-10.9,-8.9,28.0,-13.6,-11.1,-10.8,-9.2,-19.619570955905942,0.0,-14.595273840423488,0,0,0,0,1,0,1,0,0,0,1,0,1,0,3,9,2,2
2016-03-02 02:00:00,-9.7,37.0,-13.7,-10.9,30.0,-11.7,-9.9,32.0,-14.2,-11.7,-11.8,-10.3,-21.617521345669903,0.0,-15.264102933905804,0,0,0,0,1,0,1,0,0,0,1,0,1,0,3,9,2,2
2016-03-02 03:00:00,-9.5,30.0,-13.9,-10.3,17.0,-13.2,-9.4,28.0,-14.4,-11.3,-13.1,-9.7,-19.911924426675732,0.0,-14.683133757667349,0,0,0,0,1,0,1,0,0,0,1,0,1,0,3,9,2,2
