Date,actual_temp,house_temp,wind_spd_tia_1,dew_point_tia_1,temp_tia_1,wind_spd_tcc_1,dew_point_tcc_1,temp_tcc_1,wind_spd_b_1,dew_point_b_1,temp_b_1,dew_point_tc_1,actual_temp_1,wind_chill_tia_1,solar_rad_1,hmdx_tia_1,house_temp_1,weather_label_tia_1_Clear,weather_label_tia_1_Cloudy,weather_label_tia_1_Fog,weather_label_tia_1_Rain,weather_label_tia_1_Snow,wind_dir_tia_1_N,wind_dir_tia_1_NE,wind_dir_tia_1_NNE,wind_dir_tcc_1_N,wind_dir_tcc_1_NE,wind_dir_tcc_1_NNE,wind_dir_b_1_N,wind_dir_b_1_NE,wind_dir_b_1_NNE,month,week,day,day_of_week
2017-03-01 00:00:00,10.6,8.277333333333333,22.0,-9.9,-4.3,26.0,-8.9,-3.2,5.0,-8.8,-5.9,-10.2,-3.5,-10.992592408954211,0.0,-8.245163078560779,-4.4943333333333335,0,1,0,0,0,1,0,0,1,0,0,0,1,0,3,9,1,2
2017-03-01 01:00:00,9.8,9.595333333333334,12.0,6.2,8.1,13.0,5.3,6.5,4.0,7.8,8.5,7.1,10.6,8.1,0.0,7.81616407176233,8.277333333333333,0,0,0,1,0,0,0,1,1,0,0,0,0,1,3,9,1,2
2017-03-01 02:00:00,9.9,9.976916666666666,8.0,7.1,7.7,4.0,6.8,7.7,13.0,7.7,8.6,8.5,9.8,7.7,0.0,7.754905767361834,9.595333333333334,0,0,0,1,0,0,0,1,1,0,0,0,0,1,3,9,1,2
2017-03-01 03:00:00,9.8,10.1855,13.0,9.0,9.3,4.0,8.0,8.3,6.0,8.1,8.5,9.0,9.9,9.3,0.0,10.134875465106745,9.976916666666666,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,9,1,2
2017-03-01 04:00:00,9.3,10.201833333333333,16.0,9.1,9.4,15.0,7.6,7.9,8.0,7.8,8.1,8.9,9.8,9.4,0.0,10.27849446426535,10.1855,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,9,1,2
2017-03-01 05:00:00,10.6,9.960333333333333,8.0,9.0,9.3,11.0,8.4,8.5,7.0,7.9,8.2,8.5,9.3,9.3,0.0,10.134875465106745,10.201833333333333,0,0,0,1,0,0,0,1,1,0,0,1,0,0,3,9,1,2
2017-03-02 22:00:00,-5.4,-8.674833333333334,26.0,-13.3,-6.1,28.0,-12.7,-5.2,12.0,-13.3,-7.0,-12.3,-5.3,-13.89410516058497,0.0,-10.425200592038664,-8.783916666666666,0,1,0,0,0,0,0,1,0,0,1,0,0,1,3,9,2,3
2017-03-02 23:00:00,-5.4,-8.713583333333332,17.0,-13.2,-6.0,15.0,-12.3,-5.3,11.0,-12.9,-7.2,-11.6,-5.4,-12.243304566374528,0.0,-10.315297204995204,-8.674833333333334,0,1,0,0,0,0,0,1,0,0,1,0,0,1,3,9,2,3
2017-03-03 00:00:00,-5.6,-9.143416666666667,16.0,-12.8,-6.2,13.0,-12.1,-5.3,10.0,-12.2,-7.4,-11.7,-5.4,-12.282343113838582,0.0,-10.474958574927427,-8.713583333333332,0,1,0,0,0,0,0,1,0,0,1,0,0,1,3,9,3,4
2017-03-03 01:00:00,-5.4,-9.570500000000001,10.0,-12.2,-6.3,13.0,-11.7,-5.4,8.0,-12.2,-7.2,-11.5,-5.6,-10.840736468715985,0.0,-10.512223433136853,-9.143416666666667,0,1,0,0,0,0,1,0,0,0,1,0,0,1,3,9,3,4
2017-03-03 02:00:00,-5.6,-9.0375,6.0,-12.0,-6.2,13.0,-11.3,-5.3,7.0,-12.2,-7.2,-11.0,-5.4,-9.152594549331939,0.0,-10.39070241205576,-9.570500000000001,0,1,0,0,0,0,0,1,0,0,1,0,0,1,3,9,3,4
2017-03-03 03:00:00,-5.4,-8.488333333333333,2.0,-12.2,-6.7,5.0,-11.0,-5.4,7.0,-12.2,-7.1,-10.9,-5.6,-7.69646,0.0,-10.91222343313683,-9.0375,0,1,0,0,0,0,1,0,0,0,1,0,0,1,3,9,3,4
2017-03-03 04:00:00,-4.9,-8.021583333333334,10.0,-11.0,-6.2,5.0,-10.6,-5.4,7.0,-12.2,-6.9,-10.6,-5.4,-10.72127478180591,0.0,-10.278349040001842,-8.488333333333333,0,1,0,0,0,0,0,1,0,0,1,0,0,1,3,9,3,4
2017-03-03 05:00:00,-4.9,-6.803416666666667,13.0,-11.1,-6.1,15.0,-10.0,-4.6,5.0,-10.9,-6.8,-10.0,-4.9,-11.45627708975969,0.0,-10.189948869817954,-8.021583333333334,0,1,0,0,0,0,0,1,0,0,1,0,0,1,3,9,3,4
2017-03-03 22:00:00,-8.0,-11.242583333333334,9.0,-16.5,-8.8,13.0,-15.8,-8.0,12.0,-16.0,-9.8,-15.2,-8.0,-13.468242769844323,0.0,-13.406722526237559,-11.373916666666666,0,1,0,0,0,0,1,0,0,0,1,0,0,1,3,9,3,4
2017-03-03 23:00:00,-8.0,-10.149083333333333,7.0,-15.9,-9.1,11.0,-14.8,-7.9,13.0,-15.4,-9.4,-14.5,-8.0,-12.98473414323594,0.0,-13.65886565093922,-11.242583333333334,1,0,0,0,0,0,0,1,0,0,1,0,0,1,3,9,3,4
2017-03-04 00:00:00,-7.7,-9.298166666666667,9.0,-14.6,-9.5,9.0,-14.6,-8.1,9.0,-14.8,-9.4,-13.8,-8.0,-14.29776826790413,0.0,-13.947595786098816,-10.149083333333333,1,0,0,0,0,0,0,1,0,0,1,0,0,1,3,9,4,5
2017-03-04 01:00:00,-7.6,-8.822416666666667,8.0,-13.4,-8.7,13.0,-12.9,-7.6,10.0,-14.0,-9.3,-13.3,-7.7,-12.956523500663149,0.0,-13.035032399793636,-9.298166666666667,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,9,4,5
2017-03-04 02:00:00,-7.5,-9.086916666666667,14.0,-12.2,-8.2,13.0,-11.0,-7.5,12.0,-12.8,-9.0,-10.6,-7.6,-14.279463790037747,0.0,-12.41222343313683,-8.822416666666667,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,9,4,5
2017-03-04 03:00:00,-7.2,-11.2485,14.0,-11.4,-8.2,15.0,-10.9,-7.5,16.0,-11.8,-8.9,-10.5,-7.5,-14.279463790037747,0.0,-12.324256213029003,-9.086916666666667,0,0,0,0,1,0,0,1,0,0,1,0,0,1,3,9,4,5
2017-03-04 04:00:00,-7.3,-12.347166666666666,26.0,-14.0,-7.9,21.0,-11.7,-7.1,13.0,-12.2,-9.2,-11.5,-7.2,-16.21482443717184,0.0,-12.292545659168127,-11.2485,0,0,0,0,1,0,0,1,0,0,1,1,0,0,3,9,4,5
2017-03-04 05:00:00,-9.3,-13.439416666666666,18.0,-13.7,-8.0,21.0,-12.2,-7.1,19.0,-13.7,-10.4,-11.6,-7.3,-14.944329254839195,0.0,-12.364102933905826,-12.347166666666666,0,1,0,0,0,0,0,1,0,0,1,0,1,0,3,9,4,5
2017-03-04 22:00:00,-9.4,-13.457,14.0,-20.7,-10.3,13.0,-21.2,-8.6,12.0,-18.2,-11.5,-20.4,-9.1,-16.854728576669235,0.0,-15.187560130111706,-12.9065,1,0,0,0,0,1,0,0,0,1,0,1,0,0,3,9,4,5
2017-03-04 23:00:00,-9.7,-14.918,12.0,-19.4,-10.6,11.0,-20.9,-9.4,12.0,-18.5,-11.8,-19.7,-9.4,-16.64390064015114,0.0,-15.409991421936809,-13.457,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3,9,4,5
2017-03-05 00:00:00,-9.9,-15.547416666666665,8.0,-19.4,-10.9,9.0,-21.1,-9.1,9.0,-18.3,-12.4,-19.0,-9.7,-15.54045840082061,0.0,-15.709991421936763,-14.918,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3,9,5,6
2017-03-05 01:00:00,-10.2,-15.835500000000001,5.0,-19.1,-11.1,9.0,-20.5,-9.1,7.0,-17.9,-12.6,-18.9,-9.9,-14.181862982235295,0.0,-15.89096913196147,-15.547416666666665,1,0,0,0,0,0,1,0,1,0,0,1,0,0,3,9,5,6
2017-03-05 02:00:00,-10.4,-16.37483333333333,7.0,-18.3,-11.6,13.0,-21.3,-9.4,6.0,-18.2,-13.1,-19.1,-10.2,-15.89179911584488,0.0,-16.338071791178777,-15.835500000000001,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3,9,5,6
2017-03-05 03:00:00,-10.2,-16.175583333333332,7.0,-18.4,-11.7,15.0,-20.3,-9.6,4.0,-18.3,-13.2,-19.2,-10.4,-16.00808171474924,0.0,-16.444860598060416,-16.37483333333333,1,0,0,0,0,1,0,0,1,0,0,0,1,0,3,9,5,6
2017-03-05 04:00:00,-10.5,-14.011249999999999,9.0,-18.1,-12.2,11.0,-18.1,-9.9,4.0,-18.4,-13.7,-18.9,-10.2,-17.497366617563387,0.0,-16.92433934115303,-16.175583333333332,1,0,0,0,0,0,0,1,1,0,0,0,1,0,3,9,5,6
2017-03-05 05:00:00,-10.3,-13.122916666666667,9.0,-18.2,-12.1,9.0,-16.7,-9.5,4.0,-18.2,-13.7,-18.9,-10.5,-17.378862974983413,0.0,-16.831231488093692,-14.011249999999999,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3,9,5,6
2017-03-05 22:00:00,-1.1,-2.4864166666666665,18.0,-8.1,-2.6,26.0,-6.4,-0.9,20.0,-7.6,-3.6,-6.6,-1.3,-8.188216452780592,0.0,-6.303683613988653,-2.795833333333333,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,9,5,6
2017-03-05 23:00:00,-0.7,-2.74975,21.0,-8.7,-2.2,26.0,-7.2,-0.8,17.0,-7.1,-3.1,-7.0,-1.1,-8.173207271414597,0.0,-5.987580932714081,-2.4864166666666665,1,0,0,0,0,1,0,0,1,0,0,0,0,1,3,9,5,6
2017-03-06 00:00:00,-0.6,-1.8525833333333335,14.0,-8.8,-2.0,24.0,-7.0,-0.4,12.0,-6.9,-2.3,-7.4,-0.7,-6.676301086649553,0.0,-5.801225320932986,-2.74975,1,0,0,0,0,1,0,0,1,0,0,0,0,1,3,10,6,0
2017-03-06 01:00:00,-0.4,-1.2538333333333334,5.0,-8.3,-1.9,21.0,-5.8,-0.4,18.0,-7.1,-2.3,-6.4,-0.6,-3.7448864911995785,0.0,-5.632040241987568,-1.8525833333333335,1,0,0,0,0,0,0,1,1,0,0,1,0,0,3,10,6,0
2017-03-06 02:00:00,0.2,-0.7581666666666668,9.0,-7.5,-2.0,22.0,-5.5,-0.1,15.0,-6.7,-1.9,-6.3,-0.4,-5.4099950744061935,0.0,-5.616209993937787,-1.2538333333333334,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,10,6,0
2017-03-06 03:00:00,0.5,-0.381,11.0,-6.7,-1.3,15.0,-5.4,0.4,13.0,-6.6,-1.4,-5.8,0.2,-5.131643975875226,0.0,-4.793782550295305,-0.7581666666666668,0,1,0,0,0,1,0,0,1,0,0,0,0,1,3,10,6,0
2017-03-06 04:00:00,0.6,-0.14816666666666667,13.0,-6.7,-0.9,17.0,-5.0,0.6,17.0,-6.3,-1.1,-5.3,0.5,-5.116502412494945,0.0,-4.3937825502952705,-0.381,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,10,6,0
2017-03-06 05:00:00,0.9,-0.04133333333333333,10.0,-6.1,-0.3,24.0,-4.1,0.9,21.0,-5.9,-0.7,-4.6,0.6,-3.6730352541114244,0.0,-3.697434300569512,-0.14816666666666667,0,1,0,0,0,1,0,0,1,0,0,0,0,1,3,10,6,0
2017-03-06 22:00:00,6.5,5.256166666666666,7.0,0.2,5.0,15.0,1.3,4.3,7.0,-1.5,3.7,1.4,5.5,5.0,0.0,2.8887195721990793,4.490833333333334,0,1,0,0,0,1,0,0,1,0,0,0,0,1,3,10,6,0
