Date,actual_temp,wind_spd_ygn_1,dew_point_ygn_1,temp_ygn_1,wind_spd_mj_1,dew_point_mj_1,temp_mj_1,wind_spd_ria_1,dew_point_ria_1,temp_ria_1,dew_point_bl_1,actual_temp_1,wind_chill_ygn_1,hmdx_ygn_1,wind_dir_ygn_1_N,wind_dir_ygn_1_NE,wind_dir_ygn_1_NNE,wind_dir_mj_1_N,wind_dir_mj_1_NE,wind_dir_mj_1_NNE,wind_dir_ria_1_N,wind_dir_ria_1_NE,wind_dir_ria_1_NNE,month,week,day,day_of_week
2016-03-01 00:00:00,-11.2,7.0,-9.9,-8.4,8.0,-11.6,-9.4,7.0,-12.4,-9.0,-11.4,-9.8,-12.170755950905436,-12.345163078560745,1,0,0,1,0,0,1,0,0,3,9,1,1
2016-03-01 01:00:00,-13.5,7.0,-9.9,-8.4,7.0,-13.7,-10.2,10.0,-14.2,-11.6,-15.1,-11.2,-12.170755950905436,-12.345163078560745,1,0,0,0,0,1,0,0,1,3,9,1,1
2016-03-01 02:00:00,-14.6,7.0,-9.9,-8.4,9.0,-14.6,-12.2,17.0,-14.3,-11.0,-16.0,-13.5,-12.170755950905436,-12.345163078560745,1,0,0,0,0,1,0,0,1,3,9,1,1
2016-03-01 03:00:00,-12.9,7.0,-9.9,-8.4,10.0,-15.1,-13.0,16.0,-15.2,-11.9,-16.6,-14.6,-12.170755950905436,-12.345163078560745,1,0,0,0,0,1,0,0,1,3,9,1,1
2016-03-01 04:00:00,-14.5,7.0,-9.9,-8.4,8.0,-16.1,-14.1,10.0,-15.3,-12.7,-15.4,-12.9,-12.170755950905436,-12.345163078560745,1,0,0,0,0,1,0,0,1,3,9,1,1
2016-03-01 05:00:00,-15.1,7.0,-9.9,-8.4,12.0,-15.7,-13.5,11.0,-16.3,-14.4,-16.3,-14.5,-12.170755950905436,-12.345163078560745,1,0,0,0,0,1,0,0,1,3,9,1,1
2016-03-01 22:00:00,-7.8,7.0,-9.9,-8.4,7.0,-7.8,-6.2,5.0,-8.1,-6.3,-10.2,-8.3,-12.170755950905436,-12.345163078560745,1,0,0,0,0,1,0,0,1,3,9,1,1
2016-03-01 23:00:00,-8.7,7.0,-9.9,-8.4,8.0,-10.7,-8.8,3.0,-9.2,-7.1,-8.9,-7.8,-12.170755950905436,-12.345163078560745,1,0,0,0,0,1,0,0,1,3,9,1,1
2016-03-02 00:00:00,-9.2,7.0,-9.9,-8.4,7.0,-8.9,-7.8,5.0,-9.2,-8.3,-9.5,-8.7,-12.170755950905436,-12.345163078560745,1,0,0,0,0,1,1,0,0,3,9,2,2
2016-03-02 01:00:00,-9.3,7.0,-9.9,-8.4,11.0,-7.7,-6.5,10.0,-8.8,-7.1,-9.9,-9.2,-12.170755950905436,-12.345163078560745,1,0,0,0,0,1,1,0,0,3,9,2,2
2016-03-02 02:00:00,-7.9,7.0,-9.9,-8.4,5.0,-8.3,-6.9,11.0,-9.0,-7.5,-10.0,-9.3,-12.170755950905436,-12.345163078560745,1,0,0,1,0,0,1,0,0,3,9,2,2
2016-03-02 03:00:00,-7.8,7.0,-9.9,-8.4,7.0,-8.2,-6.9,12.0,-8.6,-6.8,-8.6,-7.9,-12.170755950905436,-12.345163078560745,1,0,0,1,0,0,1,0,0,3,9,2,2
2016-03-02 04:00:00,-7.4,7.0,-9.9,-8.4,8.0,-7.8,-6.5,10.0,-8.3,-6.5,-8.6,-7.8,-12.170755950905436,-12.345163078560745,1,0,0,1,0,0,1,0,0,3,9,2,2
2016-03-02 05:00:00,-7.3,7.0,-9.9,-8.4,9.0,-7.6,-6.2,13.0,-8.1,-6.1,-8.5,-7.4,-12.170755950905436,-12.345163078560745,1,0,0,1,0,0,1,0,0,3,9,2,2
2016-03-02 22:00:00,-3.6,7.0,-9.9,-8.4,11.0,-6.4,-3.5,12.0,-7.4,-3.8,-6.2,-3.0,-12.170755950905436,-12.345163078560745,1,0,0,0,1,0,1,0,0,3,9,2,2
2016-03-02 23:00:00,-4.0,7.0,-9.9,-8.4,17.0,-6.5,-3.7,12.0,-7.6,-4.3,-6.5,-3.6,-12.170755950905436,-12.345163078560745,1,0,0,0,1,0,1,0,0,3,9,2,2
2016-03-03 00:00:00,-4.6,7.0,-9.9,-8.4,14.0,-6.9,-4.4,7.0,-7.7,-4.6,-6.8,-4.0,-12.170755950905436,-12.345163078560745,1,0,0,0,1,0,1,0,0,3,9,3,3
2016-03-03 01:00:00,-4.9,7.0,-9.9,-8.4,9.0,-7.0,-4.8,6.0,-7.6,-4.7,-7.2,-4.6,-12.170755950905436,-12.345163078560745,1,0,0,1,0,0,1,0,0,3,9,3,3
2016-03-03 02:00:00,-4.9,7.0,-9.9,-8.4,7.0,-7.1,-5.0,5.0,-7.6,-4.8,-7.2,-4.9,-12.170755950905436,-12.345163078560745,1,0,0,0,1,0,1,0,0,3,9,3,3
2016-03-03 03:00:00,-4.9,7.0,-9.9,-8.4,6.0,-7.3,-5.2,7.0,-7.4,-4.9,-7.2,-4.9,-12.170755950905436,-12.345163078560745,1,0,0,1,0,0,0,0,1,3,9,3,3
2016-03-03 04:00:00,-4.9,7.0,-9.9,-8.4,6.0,-7.2,-5.2,5.0,-7.2,-5.1,-7.1,-4.9,-12.170755950905436,-12.345163078560745,1,0,0,0,1,0,0,0,1,3,9,3,3
2016-03-03 05:00:00,-5.0,7.0,-9.9,-8.4,4.0,-7.3,-5.2,3.0,-7.3,-5.3,-7.1,-4.9,-12.170755950905436,-12.345163078560745,1,0,0,0,0,1,0,1,0,3,9,3,3
2016-03-03 22:00:00,0.9,7.0,-9.9,-8.4,11.0,-1.5,1.3,30.0,-1.5,0.9,-0.9,1.1,-12.170755950905436,-12.345163078560745,1,0,0,0,0,1,0,0,1,3,9,3,3
2016-03-03 23:00:00,-0.4,7.0,-9.9,-8.4,12.0,-0.5,2.0,25.0,-1.3,0.6,-0.7,0.9,-12.170755950905436,-12.345163078560745,1,0,0,0,0,1,0,0,1,3,9,3,3
2016-03-04 00:00:00,-1.9,7.0,-9.9,-8.4,13.0,-0.9,2.1,24.0,-1.3,0.3,-1.6,-0.4,-12.170755950905436,-12.345163078560745,1,0,0,0,0,1,0,0,1,3,9,4,4
2016-03-04 01:00:00,-3.2,7.0,-9.9,-8.4,28.0,-1.0,2.4,19.0,-1.9,-1.1,-2.4,-1.9,-12.170755950905436,-12.345163078560745,1,0,0,0,0,1,0,0,1,3,9,4,4
2016-03-04 02:00:00,-0.8,7.0,-9.9,-8.4,26.0,-1.3,1.2,9.0,-4.0,-3.4,-3.6,-3.2,-12.170755950905436,-12.345163078560745,1,0,0,0,0,1,0,0,1,3,9,4,4
2016-03-04 03:00:00,-1.5,7.0,-9.9,-8.4,29.0,-1.4,0.6,21.0,-2.5,-1.9,-1.8,-0.8,-12.170755950905436,-12.345163078560745,1,0,0,0,0,1,0,0,1,3,9,4,4
