Date,actual_temp,wind_spd_tia_1,dew_point_tia_1,temp_tia_1,wind_spd_tcc_1,dew_point_tcc_1,temp_tcc_1,wind_spd_b_1,dew_point_b_1,temp_b_1,dew_point_tc_1,actual_temp_1,wind_chill_tia_1,solar_rad_1,hmdx_tia_1,weather_label_tia_1_Clear,weather_label_tia_1_Cloudy,weather_label_tia_1_Fog,weather_label_tia_1_Rain,weather_label_tia_1_Snow,wind_dir_tia_1_N,wind_dir_tia_1_NE,wind_dir_tia_1_NNE,wind_dir_tcc_1_N,wind_dir_tcc_1_NE,wind_dir_tcc_1_NNE,wind_dir_b_1_N,wind_dir_b_1_NE,wind_dir_b_1_NNE,month,week,day,day_of_week
2016-01-01 09:00:00,-2.2,23.0,-6.3,-1.3,35.0,-4.6,0.1,9.0,-15.1,-9.5,-5.1,-2.2,-7.316674664783388,35.37,-4.729992162252984,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 11:00:00,-2.2,27.0,-7.0,-2.0,32.0,-4.2,-0.8,9.0,-15.1,-9.5,-5.1,-2.2,-8.732094422567757,180.6,-5.54048662252751,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 12:00:00,-2.2,26.0,-7.4,-1.6,34.0,-5.3,-0.5,9.0,-15.1,-9.5,-5.1,-2.2,-8.092306969117805,227.27,-5.20127399105354,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 13:00:00,-2.2,23.0,-5.8,-2.1,22.0,-4.0,-1.4,9.0,-15.1,-9.5,-5.1,-2.2,-8.337727902453757,191.23,-5.447753973122531,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 14:00:00,-2.2,19.0,-4.7,-2.4,26.0,-2.7,-1.2,9.0,-15.1,-9.5,-5.1,-2.2,-8.107988353877323,136.34,-5.5566477136772505,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 15:00:00,-2.2,32.0,-5.2,-2.4,35.0,-3.8,-1.0,9.0,-15.1,-9.5,-5.1,-2.2,-9.824751641419045,140.7,-5.645288390933729,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 16:00:00,-2.2,29.0,-6.8,-2.2,32.0,-4.8,-0.9,9.0,-15.1,-9.5,-5.1,-2.2,-9.229291049434547,93.4,-5.709457925461891,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 17:00:00,-2.2,27.0,-7.4,-2.3,32.0,-5.9,-1.3,9.0,-15.1,-9.5,-5.1,-2.2,-9.120094351167973,22.42,-5.901273991053529,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-02 09:00:00,-2.2,15.0,-6.8,-2.4,34.0,-4.7,-0.7,9.0,-15.1,-9.5,-5.1,-2.2,-7.375454974464009,37.07,-5.909457925461879,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 10:00:00,-2.2,19.0,-6.1,-2.1,32.0,-4.6,-0.7,9.0,-15.1,-9.5,-5.1,-2.2,-7.73100762777895,39.42,-5.497434300569523,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,53,2,5
