Date,actual_temp,wind_spd_ygn_1,dew_point_ygn_1,temp_ygn_1,wind_spd_mj_1,dew_point_mj_1,temp_mj_1,wind_spd_ria_1,dew_point_ria_1,temp_ria_1,dew_point_bl_1,actual_temp_1,wind_chill_ygn_1,hmdx_ygn_1,wind_dir_ygn_1_N,wind_dir_ygn_1_NE,wind_dir_ygn_1_NNE,wind_dir_mj_1_N,wind_dir_mj_1_NE,wind_dir_mj_1_NNE,wind_dir_ria_1_N,wind_dir_ria_1_NE,wind_dir_ria_1_NNE,month,week,day,day_of_week
2016-01-01 09:00:00,-8.6,20.0,-13.3,-10.2,21.0,-10.5,-7.0,17.0,-11.7,-9.6,-11.6,-9.2,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 10:00:00,-8.7,20.0,-13.3,-10.2,22.0,-10.9,-7.8,15.0,-11.6,-9.7,-11.3,-8.6,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 11:00:00,-6.8,20.0,-13.3,-10.2,16.0,-10.5,-6.2,13.0,-12.5,-10.3,-11.9,-8.7,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 12:00:00,-4.7,20.0,-13.3,-10.2,22.0,-9.4,-4.1,21.0,-10.2,-6.3,-10.8,-6.8,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 13:00:00,-3.9,20.0,-13.3,-10.2,23.0,-9.1,-3.3,20.0,-9.6,-4.9,-9.9,-4.7,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 14:00:00,-2.8,20.0,-13.3,-10.2,22.0,-7.9,-1.1,16.0,-8.8,-4.1,-9.0,-3.9,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 15:00:00,-2.6,20.0,-13.3,-10.2,23.0,-7.9,-0.8,23.0,-8.2,-3.1,-8.8,-2.8,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 16:00:00,-3.1,20.0,-13.3,-10.2,19.0,-8.2,0.1,26.0,-8.2,-2.9,-8.1,-2.6,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 17:00:00,-5.2,20.0,-13.3,-10.2,17.0,-8.4,-1.6,20.0,-8.8,-3.7,-8.5,-3.1,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-02 09:00:00,-9.9,20.0,-13.3,-10.2,23.0,-11.6,-6.6,12.0,-12.4,-9.4,-13.0,-9.7,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 10:00:00,-9.2,20.0,-13.3,-10.2,22.0,-11.3,-6.8,21.0,-12.5,-9.7,-13.0,-9.9,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 11:00:00,-7.7,20.0,-13.3,-10.2,14.0,-12.8,-8.1,17.0,-12.3,-9.0,-12.9,-9.2,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 12:00:00,-6.4,20.0,-13.3,-10.2,21.0,-10.4,-4.9,21.0,-11.3,-7.6,-12.0,-7.7,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 13:00:00,-5.2,20.0,-13.3,-10.2,23.0,-9.7,-3.9,17.0,-9.9,-5.6,-10.8,-6.4,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 14:00:00,-4.9,20.0,-13.3,-10.2,22.0,-9.4,-3.2,20.0,-8.6,-4.3,-9.6,-5.2,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 15:00:00,-4.9,20.0,-13.3,-10.2,21.0,-8.7,-3.1,22.0,-8.2,-3.7,-9.2,-4.9,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 16:00:00,-5.6,20.0,-13.3,-10.2,18.0,-7.9,-2.6,16.0,-7.7,-3.2,-9.1,-4.9,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 17:00:00,-7.6,20.0,-13.3,-10.2,9.0,-8.3,-2.8,20.0,-8.2,-4.2,-9.3,-5.6,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-03 09:00:00,-16.7,20.0,-13.3,-10.2,6.0,-16.8,-14.7,16.0,-17.3,-15.6,-18.9,-16.8,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,1,0,0,1,53,3,6
2016-01-03 10:00:00,-13.9,20.0,-13.3,-10.2,6.0,-16.7,-14.8,12.0,-18.0,-16.2,-18.7,-16.7,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,3,6
2016-01-03 11:00:00,-10.1,20.0,-13.3,-10.2,3.0,-14.4,-12.0,13.0,-16.8,-15.1,-16.4,-13.9,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,3,6
2016-01-03 12:00:00,-9.3,20.0,-13.3,-10.2,0.0,-11.8,-8.7,12.0,-14.1,-12.5,-14.2,-10.1,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,1,0,0,1,53,3,6
2016-01-03 13:00:00,-8.7,20.0,-13.3,-10.2,4.0,-9.5,-5.5,13.0,-12.4,-10.8,-13.4,-9.3,-18.112951565657628,-14.52520059203863,0,0,1,1,0,0,0,0,1,1,53,3,6
2016-01-03 14:00:00,-6.0,20.0,-13.3,-10.2,6.0,-8.0,-2.0,14.0,-11.6,-8.6,-12.7,-8.7,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,3,6
2016-01-03 15:00:00,-6.0,20.0,-13.3,-10.2,1.0,-7.2,0.5,14.0,-10.8,-6.6,-10.5,-6.0,-18.112951565657628,-14.52520059203863,0,0,1,1,0,0,0,0,1,1,53,3,6
2016-01-03 16:00:00,-5.9,20.0,-13.3,-10.2,12.0,-7.6,-0.8,16.0,-9.9,-6.3,-10.3,-6.0,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,3,6
2016-01-03 17:00:00,-8.8,20.0,-13.3,-10.2,11.0,-7.7,-1.4,14.0,-9.8,-6.2,-10.0,-5.9,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,3,6
2016-01-04 09:00:00,-11.5,20.0,-13.3,-10.2,10.0,-10.4,-7.2,17.0,-12.4,-9.9,-14.2,-11.9,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,1,4,0
2016-01-04 10:00:00,-10.2,20.0,-13.3,-10.2,18.0,-8.7,-5.2,23.0,-13.0,-10.3,-13.9,-11.5,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,1,4,0
2016-01-04 11:00:00,-7.6,20.0,-13.3,-10.2,2.0,-7.8,-3.3,24.0,-12.1,-8.9,-13.3,-10.2,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,1,4,0
2016-01-04 12:00:00,-5.8,20.0,-13.3,-10.2,13.0,-8.0,-1.2,18.0,-10.4,-7.2,-11.2,-7.6,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,1,4,0
2016-01-04 13:00:00,-3.2,20.0,-13.3,-10.2,4.0,-8.2,-1.3,17.0,-9.8,-6.2,-9.6,-5.8,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,1,4,0
2016-01-04 14:00:00,-2.6,20.0,-13.3,-10.2,16.0,-7.2,0.2,15.0,-9.0,-5.2,-8.8,-3.2,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,1,4,0
2016-01-04 15:00:00,-1.8,20.0,-13.3,-10.2,12.0,-6.4,0.7,11.0,-7.8,-3.6,-8.2,-2.6,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,1,4,0
2016-01-04 16:00:00,-2.2,20.0,-13.3,-10.2,10.0,-6.3,1.4,10.0,-7.1,-2.7,-7.6,-1.8,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,1,4,0
2016-01-04 17:00:00,-4.3,20.0,-13.3,-10.2,9.0,-5.6,1.3,9.0,-7.6,-4.0,-7.9,-2.2,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,1,4,0
2016-01-05 09:00:00,-16.7,20.0,-13.3,-10.2,11.0,-16.0,-13.7,9.0,-18.4,-16.3,-18.4,-16.3,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,1,5,1
2016-01-05 10:00:00,-15.4,20.0,-13.3,-10.2,11.0,-16.4,-14.0,8.0,-18.7,-16.9,-18.8,-16.7,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,1,0,1,1,5,1
2016-01-05 11:00:00,-14.2,20.0,-13.3,-10.2,10.0,-15.9,-13.4,13.0,-17.5,-15.7,-17.5,-15.4,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,1,5,1
2016-01-05 12:00:00,-12.2,20.0,-13.3,-10.2,8.0,-15.0,-12.1,10.0,-15.6,-13.4,-16.8,-14.2,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,1,5,1
