Date,actual_temp,wind_spd_ygn_1,dew_point_ygn_1,temp_ygn_1,wind_spd_mj_1,dew_point_mj_1,temp_mj_1,wind_spd_ria_1,dew_point_ria_1,temp_ria_1,dew_point_bl_1,actual_temp_1,wind_chill_ygn_1,hmdx_ygn_1,wind_dir_ygn_1_N,wind_dir_ygn_1_NE,wind_dir_ygn_1_NNE,wind_dir_mj_1_N,wind_dir_mj_1_NE,wind_dir_mj_1_NNE,wind_dir_ria_1_N,wind_dir_ria_1_NE,wind_dir_ria_1_NNE,month,week,day,day_of_week
2016-01-01 01:00:00,-6.6,20.0,-13.3,-10.2,26.0,-10.3,-5.2,30.0,-10.6,-6.9,-10.5,-6.1,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 02:00:00,-7.7,20.0,-13.3,-10.2,28.0,-10.0,-5.4,30.0,-10.6,-7.1,-10.6,-6.6,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 03:00:00,-8.5,20.0,-13.3,-10.2,29.0,-10.0,-5.7,25.0,-10.7,-7.7,-10.8,-7.7,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 04:00:00,-9.1,20.0,-13.3,-10.2,26.0,-9.9,-5.6,20.0,-10.7,-7.7,-11.3,-8.5,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 05:00:00,-8.3,20.0,-13.3,-10.2,24.0,-10.3,-6.1,17.0,-11.3,-8.8,-11.6,-9.1,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 06:00:00,-8.1,20.0,-13.3,-10.2,26.0,-10.3,-6.4,16.0,-12.1,-9.7,-11.0,-8.3,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 07:00:00,-8.8,20.0,-13.3,-10.2,19.0,-10.2,-6.5,23.0,-11.4,-9.3,-10.9,-8.1,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 08:00:00,-9.2,20.0,-13.3,-10.2,25.0,-10.2,-6.4,20.0,-10.9,-8.5,-11.2,-8.8,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 18:00:00,-6.8,20.0,-13.3,-10.2,23.0,-9.9,-2.9,21.0,-10.5,-6.1,-9.5,-5.2,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 19:00:00,-6.4,20.0,-13.3,-10.2,25.0,-9.8,-3.3,25.0,-9.8,-5.9,-10.4,-6.8,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 20:00:00,-4.7,20.0,-13.3,-10.2,22.0,-9.8,-3.2,22.0,-11.0,-7.3,-10.8,-6.4,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 21:00:00,-5.1,20.0,-13.3,-10.2,32.0,-9.7,-2.9,22.0,-10.8,-6.4,-9.7,-4.7,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 22:00:00,-6.4,20.0,-13.3,-10.2,34.0,-9.9,-2.2,21.0,-11.4,-7.4,-10.2,-5.1,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-01 23:00:00,-7.0,20.0,-13.3,-10.2,36.0,-10.0,-1.8,26.0,-10.9,-6.5,-10.7,-6.4,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,1,4
2016-01-02 00:00:00,-7.2,20.0,-13.3,-10.2,34.0,-10.0,-2.1,19.0,-11.7,-8.0,-11.0,-7.0,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 01:00:00,-7.6,20.0,-13.3,-10.2,33.0,-10.3,-2.3,16.0,-12.0,-8.5,-11.6,-7.2,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 02:00:00,-7.2,20.0,-13.3,-10.2,30.0,-10.3,-2.9,17.0,-12.4,-9.2,-11.7,-7.6,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 03:00:00,-6.8,20.0,-13.3,-10.2,28.0,-10.3,-4.3,17.0,-12.2,-9.2,-11.7,-7.2,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 04:00:00,-7.1,20.0,-13.3,-10.2,31.0,-10.2,-4.2,12.0,-12.6,-9.6,-11.6,-6.8,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 05:00:00,-6.9,20.0,-13.3,-10.2,20.0,-10.6,-5.2,13.0,-13.1,-10.6,-11.5,-7.1,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 06:00:00,-8.4,20.0,-13.3,-10.2,18.0,-10.8,-5.2,18.0,-13.0,-10.6,-11.3,-6.9,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 07:00:00,-8.9,20.0,-13.3,-10.2,21.0,-11.1,-5.6,14.0,-13.4,-11.1,-12.2,-8.4,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 08:00:00,-9.7,20.0,-13.3,-10.2,23.0,-11.2,-6.6,17.0,-12.3,-9.6,-12.4,-8.9,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 18:00:00,-8.6,20.0,-13.3,-10.2,12.0,-9.4,-5.5,17.0,-9.5,-6.6,-10.3,-7.6,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 19:00:00,-10.1,20.0,-13.3,-10.2,7.0,-10.7,-8.6,12.0,-11.4,-9.6,-10.7,-8.6,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 20:00:00,-12.5,20.0,-13.3,-10.2,9.0,-13.6,-11.5,8.0,-13.6,-12.3,-12.3,-10.1,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 21:00:00,-12.8,20.0,-13.3,-10.2,5.0,-13.4,-12.0,7.0,-13.2,-12.0,-14.0,-12.5,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 22:00:00,-11.8,20.0,-13.3,-10.2,4.0,-12.1,-10.8,8.0,-13.9,-12.9,-14.0,-12.8,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-02 23:00:00,-12.6,20.0,-13.3,-10.2,7.0,-13.1,-11.5,5.0,-14.2,-13.3,-13.5,-11.8,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,2,5
2016-01-03 00:00:00,-13.3,20.0,-13.3,-10.2,5.0,-16.3,-14.3,12.0,-16.0,-14.6,-14.3,-12.6,-18.112951565657628,-14.52520059203863,0,0,1,1,0,0,0,0,1,1,53,3,6
2016-01-03 01:00:00,-14.4,20.0,-13.3,-10.2,2.0,-16.8,-14.8,5.0,-16.5,-14.9,-15.2,-13.3,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,3,6
2016-01-03 02:00:00,-15.1,20.0,-13.3,-10.2,7.0,-15.6,-13.8,5.0,-16.2,-14.8,-16.2,-14.4,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,1,0,0,1,53,3,6
2016-01-03 03:00:00,-15.1,20.0,-13.3,-10.2,2.0,-15.8,-13.9,12.0,-18.0,-16.2,-16.9,-15.1,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,3,6
2016-01-03 04:00:00,-15.7,20.0,-13.3,-10.2,9.0,-16.7,-14.0,3.0,-16.2,-14.6,-16.8,-15.1,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,3,6
2016-01-03 05:00:00,-14.6,20.0,-13.3,-10.2,1.0,-15.4,-13.4,5.0,-17.0,-15.3,-17.5,-15.7,-18.112951565657628,-14.52520059203863,0,0,1,1,0,0,0,0,1,1,53,3,6
2016-01-03 06:00:00,-14.9,20.0,-13.3,-10.2,7.0,-16.8,-14.8,12.0,-16.4,-14.8,-16.2,-14.6,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,3,6
2016-01-03 07:00:00,-16.3,20.0,-13.3,-10.2,5.0,-16.9,-14.8,10.0,-17.4,-15.6,-16.6,-14.9,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,1,0,0,1,53,3,6
2016-01-03 08:00:00,-16.8,20.0,-13.3,-10.2,7.0,-17.1,-15.0,12.0,-17.9,-16.1,-18.2,-16.3,-18.112951565657628,-14.52520059203863,0,0,1,0,0,1,0,0,1,1,53,3,6
